face,scene
stimulus/Faces/face006.jpg,stimulus/Scenes/scene16.jpg
stimulus/Faces/face018.jpg,stimulus/Scenes/scene65.jpg
stimulus/Faces/face015.jpg,stimulus/Scenes/scene07.jpg
stimulus/Faces/face036.jpg,stimulus/Scenes/scene75.jpg
stimulus/Faces/face013.jpg,stimulus/Scenes/scene03.jpg
stimulus/Faces/face003.jpg,stimulus/Scenes/scene72.jpg
stimulus/Faces/face046.jpg,stimulus/Scenes/scene68.jpg
stimulus/Faces/face047.jpg,stimulus/Scenes/scene64.jpg
stimulus/Faces/face023.jpg,stimulus/Scenes/scene10.jpg
stimulus/Faces/face022.jpg,stimulus/Scenes/scene78.jpg
stimulus/Faces/face029.jpg,stimulus/Scenes/scene08.jpg
stimulus/Faces/face055.jpg,stimulus/Scenes/scene22.jpg
