face,scene
stimulus/Faces/face052.jpg,stimulus/Scenes/scene33.jpg
stimulus/Faces/face034.jpg,stimulus/Scenes/scene05.jpg
stimulus/Faces/face045.jpg,stimulus/Scenes/scene79.jpg
stimulus/Faces/face061.jpg,stimulus/Scenes/scene55.jpg
stimulus/Faces/face058.jpg,stimulus/Scenes/scene38.jpg
stimulus/Faces/face000.jpg,stimulus/Scenes/scene39.jpg
stimulus/Faces/face016.jpg,stimulus/Scenes/scene32.jpg
stimulus/Faces/face012.jpg,stimulus/Scenes/scene37.jpg
stimulus/Faces/face039.jpg,stimulus/Scenes/scene67.jpg
stimulus/Faces/face010.jpg,stimulus/Scenes/scene06.jpg
stimulus/Faces/face014.jpg,stimulus/Scenes/scene29.jpg
stimulus/Faces/face017.jpg,stimulus/Scenes/scene40.jpg
