face,scene
stimulus/Faces/face041.jpg,stimulus/Scenes/scene36.jpg
stimulus/Faces/face028.jpg,stimulus/Scenes/scene69.jpg
stimulus/Faces/face004.jpg,stimulus/Scenes/scene12.jpg
stimulus/Faces/face002.jpg,stimulus/Scenes/scene61.jpg
stimulus/Faces/face059.jpg,stimulus/Scenes/scene60.jpg
stimulus/Faces/face007.jpg,stimulus/Scenes/scene52.jpg
stimulus/Faces/face051.jpg,stimulus/Scenes/scene15.jpg
stimulus/Faces/face032.jpg,stimulus/Scenes/scene21.jpg
stimulus/Faces/face042.jpg,stimulus/Scenes/scene30.jpg
stimulus/Faces/face030.jpg,stimulus/Scenes/scene41.jpg
stimulus/Faces/face047.jpg,stimulus/Scenes/scene76.jpg
stimulus/Faces/face031.jpg,stimulus/Scenes/scene57.jpg
