face,scene
stimulus/Faces/face027.jpg,stimulus/Scenes/scene46.jpg
stimulus/Faces/face050.jpg,stimulus/Scenes/scene42.jpg
stimulus/Faces/face008.jpg,stimulus/Scenes/scene50.jpg
stimulus/Faces/face060.jpg,stimulus/Scenes/scene11.jpg
stimulus/Faces/face049.jpg,stimulus/Scenes/scene63.jpg
stimulus/Faces/face010.jpg,stimulus/Scenes/scene19.jpg
stimulus/Faces/face056.jpg,stimulus/Scenes/scene01.jpg
stimulus/Faces/face044.jpg,stimulus/Scenes/scene53.jpg
stimulus/Faces/face002.jpg,stimulus/Scenes/scene00.jpg
stimulus/Faces/face063.jpg,stimulus/Scenes/scene58.jpg
stimulus/Faces/face014.jpg,stimulus/Scenes/scene44.jpg
stimulus/Faces/face005.jpg,stimulus/Scenes/scene31.jpg
